date,region
2018-02-06,north
2018-02-06,south
2018-02-06,east
2018-02-06,west
2018-02-07,north
2018-02-07,south
2018-02-07,east
2018-02-07,west
2018-02-08,north
2018-02-08,south
2018-02-08,east
2018-02-08,west
2018-02-09,north
2018-02-09,south
2018-02-09,east
2018-02-09,west
2018-02-10,north
2018-02-10,south
2018-02-10,east
2018-02-10,west
2018-02-11,north
2018-02-11,south
2018-02-11,east
2018-02-11,west
2018-02-12,north
2018-02-12,south
2018-02-12,east
2018-02-12,west
2018-02-13,north
2018-02-13,south
2018-02-13,east
2018-02-13,west
2018-02-14,north
2018-02-14,south
2018-02-14,east
2018-02-14,west
2018-02-15,north
2018-02-15,south
2018-02-15,east
2018-02-15,west
2018-02-16,north
2018-02-16,south
2018-02-16,east
2018-02-16,west
2018-02-17,north
2018-02-17,south
2018-02-17,east
2018-02-17,west
2018-02-18,north
2018-02-18,south
2018-02-18,east
2018-02-18,west
2018-02-19,north
2018-02-19,south
2018-02-19,east
2018-02-19,west
2018-02-20,north
2018-02-20,south
2018-02-20,east
2018-02-20,west
2018-02-21,north
2018-02-21,south
2018-02-21,east
2018-02-21,west
2018-02-22,north
2018-02-22,south
2018-02-22,east
2018-02-22,west
2018-02-23,north
2018-02-23,south
2018-02-23,east
2018-02-23,west
2018-02-24,north
2018-02-24,south
2018-02-24,east
2018-02-24,west
2018-02-25,north
2018-02-25,south
2018-02-25,east
2018-02-25,west
2018-02-26,north
2018-02-26,south
2018-02-26,east
2018-02-26,west
2018-02-27,north
2018-02-27,south
2018-02-27,east
2018-02-27,west
2018-02-28,north
2018-02-28,south
2018-02-28,east
2018-02-28,west
2018-03-01,north
2018-03-01,south
2018-03-01,east
2018-03-01,west
2018-03-02,north
2018-03-02,south
2018-03-02,east
2018-03-02,west
2018-03-03,north
2018-03-03,south
2018-03-03,east
2018-03-03,west
2018-03-04,north
2018-03-04,south
2018-03-04,east
2018-03-04,west
2018-03-05,north
2018-03-05,south
2018-03-05,east
2018-03-05,west
2018-03-06,north
2018-03-06,south
2018-03-06,east
2018-03-06,west
2018-03-07,north
2018-03-07,south
2018-03-07,east
2018-03-07,west
2018-03-08,north
2018-03-08,south
2018-03-08,east
2018-03-08,west
2018-03-09,north
2018-03-09,south
2018-03-09,east
2018-03-09,west
2018-03-10,north
2018-03-10,south
2018-03-10,east
2018-03-10,west
2018-03-11,north
2018-03-11,south
2018-03-11,east
2018-03-11,west
2018-03-12,north
2018-03-12,south
2018-03-12,east
2018-03-12,west
2018-03-13,north
2018-03-13,south
2018-03-13,east
2018-03-13,west
2018-03-14,north
2018-03-14,south
2018-03-14,east
2018-03-14,west
2018-03-15,north
2018-03-15,south
2018-03-15,east
2018-03-15,west
2018-03-16,north
2018-03-16,south
2018-03-16,east
2018-03-16,west
2018-03-17,north
2018-03-17,south
2018-03-17,east
2018-03-17,west
2018-03-18,north
2018-03-18,south
2018-03-18,east
2018-03-18,west
2018-03-19,north
2018-03-19,south
2018-03-19,east
2018-03-19,west
2018-03-20,north
2018-03-20,south
2018-03-20,east
2018-03-20,west
2018-03-21,north
2018-03-21,south
2018-03-21,east
2018-03-21,west
2018-03-22,north
2018-03-22,south
2018-03-22,east
2018-03-22,west
2018-03-23,north
2018-03-23,south
2018-03-23,east
2018-03-23,west
2018-03-24,north
2018-03-24,south
2018-03-24,east
2018-03-24,west
2018-03-25,north
2018-03-25,south
2018-03-25,east
2018-03-25,west
2018-03-26,north
2018-03-26,south
2018-03-26,east
2018-03-26,west
2018-03-27,north
2018-03-27,south
2018-03-27,east
2018-03-27,west
2018-03-28,north
2018-03-28,south
2018-03-28,east
2018-03-28,west
2018-03-29,north
2018-03-29,south
2018-03-29,east
2018-03-29,west
2018-03-30,north
2018-03-30,south
2018-03-30,east
2018-03-30,west
2018-03-31,north
2018-03-31,south
2018-03-31,east
2018-03-31,west
2018-04-01,north
2018-04-01,south
2018-04-01,east
2018-04-01,west
2018-04-02,north
2018-04-02,south
2018-04-02,east
2018-04-02,west
2018-04-03,north
2018-04-03,south
2018-04-03,east
2018-04-03,west
2018-04-04,north
