Sales,Date,Region
163800,2018-02-06,north
164700,2018-02-06,south
173100,2018-02-06,east
155700,2018-02-06,west
158700,2018-02-07,north
169800,2018-02-07,south
154200,2018-02-07,east
163500,2018-02-07,west
160200,2018-02-08,north
153600,2018-02-08,south
150300,2018-02-08,east
170100,2018-02-08,west
175800,2018-02-09,north
166200,2018-02-09,south
178200,2018-02-09,east
151500,2018-02-09,west
166200,2018-02-10,north
155700,2018-02-10,south
165000,2018-02-10,east
167400,2018-02-10,west
155400,2018-02-11,north
158700,2018-02-11,south
156300,2018-02-11,east
176400,2018-02-11,west
175800,2018-02-12,north
160800,2018-02-12,south
156900,2018-02-12,east
165300,2018-02-12,west
157200,2018-02-13,north
171600,2018-02-13,south
177300,2018-02-13,east
172500,2018-02-13,west
176700,2018-02-14,north
171000,2018-02-14,south
169800,2018-02-14,east
151200,2018-02-14,west
174600,2018-02-15,north
173400,2018-02-15,south
152400,2018-02-15,east
161400,2018-02-15,west
157800,2018-02-16,north
178200,2018-02-16,south
152700,2018-02-16,east
175200,2018-02-16,west
178500,2018-02-17,north
168900,2018-02-17,south
164100,2018-02-17,east
157500,2018-02-17,west
164400,2018-02-18,north
167400,2018-02-18,south
155100,2018-02-18,east
173700,2018-02-18,west
156300,2018-02-19,north
164700,2018-02-19,south
160500,2018-02-19,east
153900,2018-02-19,west
169800,2018-02-20,north
157500,2018-02-20,south
150000,2018-02-20,east
155100,2018-02-20,west
173700,2018-02-21,north
154200,2018-02-21,south
166500,2018-02-21,east
154800,2018-02-21,west
163500,2018-02-22,north
163200,2018-02-22,south
166800,2018-02-22,east
176400,2018-02-22,west
153300,2018-02-23,north
156300,2018-02-23,south
164100,2018-02-23,east
177300,2018-02-23,west
162900,2018-02-24,north
169800,2018-02-24,south
172500,2018-02-24,east
172200,2018-02-24,west
159600,2018-02-25,north
171000,2018-02-25,south
163500,2018-02-25,east
165900,2018-02-25,west
168600,2018-02-26,north
153300,2018-02-26,south
152400,2018-02-26,east
153000,2018-02-26,west
166500,2018-02-27,north
169500,2018-02-27,south
157800,2018-02-27,east
162000,2018-02-27,west
176700,2018-02-28,north
159300,2018-02-28,south
174300,2018-02-28,east
155700,2018-02-28,west
166800,2018-03-01,north
178200,2018-03-01,south
152700,2018-03-01,east
166800,2018-03-01,west
163500,2018-03-02,north
156900,2018-03-02,south
174600,2018-03-02,east
177300,2018-03-02,west
153900,2018-03-03,north
150000,2018-03-03,south
156900,2018-03-03,east
155700,2018-03-03,west
177300,2018-03-04,north
164400,2018-03-04,south
161400,2018-03-04,east
167400,2018-03-04,west
153300,2018-03-05,north
165300,2018-03-05,south
155700,2018-03-05,east
174600,2018-03-05,west
171900,2018-03-06,north
171900,2018-03-06,south
165900,2018-03-06,east
180000,2018-03-06,west
158100,2018-03-07,north
160200,2018-03-07,south
160800,2018-03-07,east
165000,2018-03-07,west
161100,2018-03-08,north
153000,2018-03-08,south
169800,2018-03-08,east
166800,2018-03-08,west
174600,2018-03-09,north
152400,2018-03-09,south
150600,2018-03-09,east
170400,2018-03-09,west
178800,2018-03-10,north
171900,2018-03-10,south
174600,2018-03-10,east
158400,2018-03-10,west
169200,2018-03-11,north
163500,2018-03-11,south
160800,2018-03-11,east
159000,2018-03-11,west
159900,2018-03-12,north
151800,2018-03-12,south
160200,2018-03-12,east
165900,2018-03-12,west
164400,2018-03-13,north
161100,2018-03-13,south
155400,2018-03-13,east
151500,2018-03-13,west
151500,2018-03-14,north
163200,2018-03-14,south
151200,2018-03-14,east
177600,2018-03-14,west
167700,2018-03-15,north
150300,2018-03-15,south
160500,2018-03-15,east
164700,2018-03-15,west
150600,2018-03-16,north
173700,2018-03-16,south
159000,2018-03-16,east
176700,2018-03-16,west
159300,2018-03-17,north
161400,2018-03-17,south
171000,2018-03-17,east
166200,2018-03-17,west
165000,2018-03-18,north
175500,2018-03-18,south
169800,2018-03-18,east
165900,2018-03-18,west
168300,2018-03-19,north
150900,2018-03-19,south
150000,2018-03-19,east
154500,2018-03-19,west
164700,2018-03-20,north
161400,2018-03-20,south
162900,2018-03-20,east
167700,2018-03-20,west
174300,2018-03-21,north
156900,2018-03-21,south
159300,2018-03-21,east
157800,2018-03-21,west
157800,2018-03-22,north
158100,2018-03-22,south
165300,2018-03-22,east
157800,2018-03-22,west
176100,2018-03-23,north
161100,2018-03-23,south
174900,2018-03-23,east
176400,2018-03-23,west
171600,2018-03-24,north
171000,2018-03-24,south
180000,2018-03-24,east
172800,2018-03-24,west
174300,2018-03-25,north
176400,2018-03-25,south
174000,2018-03-25,east
170700,2018-03-25,west
150900,2018-03-26,north
164100,2018-03-26,south
153300,2018-03-26,east
175200,2018-03-26,west
176700,2018-03-27,north
159000,2018-03-27,south
153300,2018-03-27,east
170400,2018-03-27,west
167100,2018-03-28,north
152700,2018-03-28,south
152400,2018-03-28,east
162900,2018-03-28,west
172200,2018-03-29,north
155700,2018-03-29,south
168600,2018-03-29,east
177900,2018-03-29,west
173400,2018-03-30,north
177600,2018-03-30,south
155400,2018-03-30,east
172500,2018-03-30,west
161700,2018-03-31,north
163500,2018-03-31,south
160500,2018-03-31,east
178500,2018-03-31,west
176100,2018-04-01,north
153000,2018-04-01,south
171000,2018-04-01,east
150600,2018-04-01,west
150900,2018-04-02,north
179700,2018-04-02,south
166200,2018-04-02,east
153000,2018-04-02,west
176700,2018-04-03,north
176700,2018-04-03,south
161400,2018-04-03,east
153300,2018-04-03,west
176700,2018-04-04,north
176100,2018-04-04,south
156600,2018-04-04,east
162300,2018-04-04,west
150600,2018-04-05,north
151200,2018-04-05,south
169200,2018-04-05,east
174900,2018-04-05,west
170100,2018-04-06,north
175200,2018-04-06,south
163200,2018-04-06,east
151500,2018-04-06,west
172500,2018-04-07,north
161100,2018-04-07,south
178800,2018-04-07,east
161700,2018-04-07,west
165600,2018-04-08,north
167400,2018-04-08,south
155700,2018-04-08,east
170100,2018-04-08,west
168600,2018-04-09,north
178200,2018-04-09,south
164100,2018-04-09,east
155700,2018-04-09,west
168600,2018-04-10,north
152700,2018-04-10,south
169800,2018-04-10,east
172800,2018-04-10,west
167100,2018-04-11,north
152700,2018-04-11,south
158100,2018-04-11,east
176400,2018-04-11,west
165300,2018-04-12,north
162600,2018-04-12,south
178200,2018-04-12,east
174900,2018-04-12,west
153900,2018-04-13,north
175200,2018-04-13,south
167400,2018-04-13,east
174900,2018-04-13,west
156900,2018-04-14,north
179400,2018-04-14,south
167400,2018-04-14,east
163800,2018-04-14,west
151500,2018-04-15,north
152700,2018-04-15,south
160200,2018-04-15,east
165300,2018-04-15,west
160200,2018-04-16,north
170700,2018-04-16,south
154800,2018-04-16,east
152700,2018-04-16,west
159900,2018-04-17,north
172800,2018-04-17,south
170400,2018-04-17,east
153900,2018-04-17,west
154500,2018-04-18,north
179700,2018-04-18,south
151500,2018-04-18,east
171900,2018-04-18,west
171300,2018-04-19,north
167400,2018-04-19,south
176700,2018-04-19,east
176700,2018-04-19,west
166800,2018-04-20,north
