product;price;quantity;date;region
pink morsel;$3.00;546;06-02-2018;north
pink morsel;$3.00;549;06-02-2018;south
pink morsel;$3.00;577;06-02-2018;east
pink morsel;$3.00;519;06-02-2018;west
gold morsel;$9.99;580;06-02-2018;north
gold morsel;$9.99;530;06-02-2018;south
gold morsel;$9.99;576;06-02-2018;east
gold morsel;$9.99;580;06-02-2018;west
magenta morsel;$2.50;522;06-02-2018;north
magenta morsel;$2.50;560;06-02-2018;south
magenta morsel;$2.50;583;06-02-2018;east
magenta morsel;$2.50;552;06-02-2018;west
chartreuse morsel;$3.00;543;06-02-2018;north
chartreuse morsel;$3.00;574;06-02-2018;south
chartreuse morsel;$3.00;577;06-02-2018;east
chartreuse morsel;$3.00;503;06-02-2018;west
periwinkle morsel;$1.25;530;06-02-2018;north
periwinkle morsel;$1.25;546;06-02-2018;south
periwinkle morsel;$1.25;506;06-02-2018;east
periwinkle morsel;$1.25;559;06-02-2018;west
vermilion morsel;$4.99;533;06-02-2018;north
vermilion morsel;$4.99;568;06-02-2018;south
vermilion morsel;$4.99;556;06-02-2018;east
vermilion morsel;$4.99;573;06-02-2018;west
lapis morsel;$1.99;544;06-02-2018;north
lapis morsel;$1.99;577;06-02-2018;south
lapis morsel;$1.99;532;06-02-2018;east
lapis morsel;$1.99;585;06-02-2018;west
pink morsel;$3.00;529;07-02-2018;north
pink morsel;$3.00;566;07-02-2018;south
pink morsel;$3.00;514;07-02-2018;east
pink morsel;$3.00;545;07-02-2018;west
gold morsel;$9.99;506;07-02-2018;north
gold morsel;$9.99;512;07-02-2018;south
gold morsel;$9.99;524;07-02-2018;east
gold morsel;$9.99;559;07-02-2018;west
magenta morsel;$2.50;594;07-02-2018;north
magenta morsel;$2.50;596;07-02-2018;south
magenta morsel;$2.50;537;07-02-2018;east
magenta morsel;$2.50;524;07-02-2018;west
chartreuse morsel;$3.00;533;07-02-2018;north
chartreuse morsel;$3.00;547;07-02-2018;south
chartreuse morsel;$3.00;501;07-02-2018;east
chartreuse morsel;$3.00;548;07-02-2018;west
periwinkle morsel;$1.25;573;07-02-2018;north
periwinkle morsel;$1.25;545;07-02-2018;south
periwinkle morsel;$1.25;578;07-02-2018;east
periwinkle morsel;$1.25;504;07-02-2018;west
vermilion morsel;$4.99;561;07-02-2018;north
vermilion morsel;$4.99;581;07-02-2018;south
vermilion morsel;$4.99;550;07-02-2018;east
vermilion morsel;$4.99;506;07-02-2018;west
lapis morsel;$1.99;518;07-02-2018;north
lapis morsel;$1.99;537;07-02-2018;south
lapis morsel;$1.99;558;07-02-2018;east
lapis morsel;$1.99;536;07-02-2018;west
pink morsel;$3.00;534;08-02-2018;north
pink morsel;$3.00;512;08-02-2018;south
pink morsel;$3.00;501;08-02-2018;east
pink morsel;$3.00;567;08-02-2018;west
gold morsel;$9.99;590;08-02-2018;north
gold morsel;$9.99;501;08-02-2018;south
gold morsel;$9.99;515;08-02-2018;east
gold morsel;$9.99;514;08-02-2018;west
magenta morsel;$2.50;559;08-02-2018;north
magenta morsel;$2.50;550;08-02-2018;south
magenta morsel;$2.50;557;08-02-2018;east
magenta morsel;$2.50;514;08-02-2018;west
chartreuse morsel;$3.00;600;08-02-2018;north
chartreuse morsel;$3.00;542;08-02-2018;south
chartreuse morsel;$3.00;535;08-02-2018;east
chartreuse morsel;$3.00;510;08-02-2018;west
periwinkle morsel;$1.25;504;08-02-2018;north
periwinkle morsel;$1.25;529;08-02-2018;south
periwinkle morsel;$1.25;579;08-02-2018;east
periwinkle morsel;$1.25;511;08-02-2018;west
vermilion morsel;$4.99;500;08-02-2018;north
vermilion morsel;$4.99;520;08-02-2018;south
vermilion morsel;$4.99;537;08-02-2018;east
vermilion morsel;$4.99;600;08-02-2018;west
lapis morsel;$1.99;565;08-02-2018;north
lapis morsel;$1.99;501;08-02-2018;south
lapis morsel;$1.99;533;08-02-2018;east
lapis morsel;$1.99;500;08-02-2018;west
pink morsel;$3.00;586;09-02-2018;north
pink morsel;$3.00;554;09-02-2018;south
pink morsel;$3.00;594;09-02-2018;east
pink morsel;$3.00;505;09-02-2018;west
gold morsel;$9.99;597;09-02-2018;north
gold morsel;$9.99;584;09-02-2018;south
gold morsel;$9.99;553;09-02-2018;east
gold morsel;$9.99;584;09-02-2018;west
magenta morsel;$2.50;594;09-02-2018;north
magenta morsel;$2.50;568;09-02-2018;south
magenta morsel;$2.50;556;09-02-2018;east
magenta morsel;$2.50;579;09-02-2018;west
chartreuse morsel;$3.00;588;09-02-2018;north
chartreuse morsel;$3.00;540;09-02-2018;south
chartreuse morsel;$3.00;543;09-02-2018;east
chartreuse morsel;$3.00;558;09-02-2018;west
periwinkle morsel;$1.25;578;09-02-2018;north
periwinkle morsel;$1.25;518;09-02-2018;south
periwinkle morsel;$1.25;591;09-02-2018;east
periwinkle morsel;$1.25;525;09-02-2018;west
vermilion morsel;$4.99;565;09-02-2018;north
vermilion morsel;$4.99;600;09-02-2018;south
vermilion morsel;$4.99;574;09-02-2018;east
vermilion morsel;$4.99;511;09-02-2018;west
lapis morsel;$1.99;512;09-02-2018;north
lapis morsel;$1.99;540;09-02-2018;south
lapis morsel;$1.99;575;09-02-2018;east
lapis morsel;$1.99;518;09-02-2018;west
pink morsel;$3.00;554;10-02-2018;north
pink morsel;$3.00;519;10-02-2018;south
pink morsel;$3.00;550;10-02-2018;east
pink morsel;$3.00;558;10-02-2018;west
gold morsel;$9.99;509;10-02-2018;north
gold morsel;$9.99;548;10-02-2018;south
gold morsel;$9.99;517;10-02-2018;east
gold morsel;$9.99;523;10-02-2018;west
magenta morsel;$2.50;600;10-02-2018;north
magenta morsel;$2.50;562;10-02-2018;south
magenta morsel;$2.50;576;10-02-2018;east
magenta morsel;$2.50;511;10-02-2018;west
chartreuse morsel;$3.00;591;10-02-2018;north
chartreuse morsel;$3.00;569;10-02-2018;south
chartreuse morsel;$3.00;577;10-02-2018;east
chartreuse morsel;$3.00;545;10-02-2018;west
periwinkle morsel;$1.25;546;10-02-2018;north
periwinkle morsel;$1.25;550;10-02-2018;south
periwinkle morsel;$1.25;519;10-02-2018;east
periwinkle morsel;$1.25;586;10-02-2018;west
vermilion morsel;$4.99;537;10-02-2018;north
vermilion morsel;$4.99;571;10-02-2018;south
vermilion morsel;$4.99;546;10-02-2018;east
vermilion morsel;$4.99;549;10-02-2018;west
lapis morsel;$1.99;599;10-02-2018;north
lapis morsel;$1.99;570;10-02-2018;south
lapis morsel;$1.99;557;10-02-2018;east
lapis morsel;$1.99;580;10-02-2018;west
pink morsel;$3.00;518;11-02-2018;north
pink morsel;$3.00;529;11-02-2018;south
pink morsel;$3.00;521;11-02-2018;east
pink morsel;$3.00;588;11-02-2018;west
gold morsel;$9.99;518;11-02-2018;north
gold morsel;$9.99;578;11-02-2018;south
gold morsel;$9.99;534;11-02-2018;east
gold morsel;$9.99;508;11-02-2018;west
magenta morsel;$2.50;579;11-02-2018;north
magenta morsel;$2.50;516;11-02-2018;south
magenta morsel;$2.50;543;11-02-2018;east
magenta morsel;$2.50;500;11-02-2018;west
chartreuse morsel;$3.00;589;11-02-2018;north
chartreuse morsel;$3.00;511;11-02-2018;south
chartreuse morsel;$3.00;550;11-02-2018;east
chartreuse morsel;$3.00;515;11-02-2018;west
periwinkle morsel;$1.25;572;11-02-2018;north
periwinkle morsel;$1.25;503;11-02-2018;south
periwinkle morsel;$1.25;545;11-02-2018;east
periwinkle morsel;$1.25;540;11-02-2018;west
vermilion morsel;$4.99;521;11-02-2018;north
vermilion morsel;$4.99;503;11-02-2018;south
vermilion morsel;$4.99;558;11-02-2018;east
vermilion morsel;$4.99;548;11-02-2018;west
lapis morsel;$1.99;501;11-02-2018;north
lapis morsel;$1.99;567;11-02-2018;south
lapis morsel;$1.99;543;11-02-2018;east
lapis morsel;$1.99;579;11-02-2018;west
pink morsel;$3.00;586;12-02-2018;north
pink morsel;$3.00;536;12-02-2018;south
pink morsel;$3.00;523;12-02-2018;east
pink morsel;$3.00;551;12-02-2018;west
gold morsel;$9.99;534;12-02-2018;north
gold morsel;$9.99;543;12-02-2018;south
gold morsel;$9.99;511;12-02-2018;east
gold morsel;$9.99;515;12-02-2018;west
magenta morsel;$2.50;500;12-02-2018;north
magenta morsel;$2.50;532;12-02-2018;south
magenta morsel;$2.50;517;12-02-2018;east
magenta morsel;$2.50;530;12-02-2018;west
chartreuse morsel;$3.00;541;12-02-2018;north
chartreuse morsel;$3.00;521;12-02-2018;south
