,date,region,sale
12322,2019-04-22,east,1671.0
5266,2018-08-13,east,1638.0
5294,2018-08-14,east,1716.0
5322,2018-08-15,east,1800.0
5350,2018-08-16,east,1743.0
12350,2019-04-23,east,1728.0
5378,2018-08-17,east,1623.0
5406,2018-08-18,east,1689.0
5434,2018-08-19,east,1701.0
5462,2018-08-20,east,1662.0
5490,2018-08-21,east,1644.0
5518,2018-08-22,east,1539.0
5546,2018-08-23,east,1788.0
5574,2018-08-24,east,1734.0
12294,2019-04-21,east,1545.0
5602,2018-08-25,east,1764.0
5630,2018-08-26,east,1668.0
5658,2018-08-27,east,1602.0
5686,2018-08-28,east,1656.0
12266,2019-04-20,east,1584.0
12378,2019-04-24,east,1746.0
5714,2018-08-29,east,1734.0
5238,2018-08-12,east,1719.0
5182,2018-08-10,east,1701.0
4762,2018-07-26,east,1551.0
4790,2018-07-27,east,1695.0
12490,2019-04-28,east,1578.0
4818,2018-07-28,east,1596.0
4846,2018-07-29,east,1749.0
4874,2018-07-30,east,1509.0
4902,2018-07-31,east,1548.0
12462,2019-04-27,east,1740.0
4930,2018-08-01,east,1554.0
4958,2018-08-02,east,1548.0
4986,2018-08-03,east,1719.0
5014,2018-08-04,east,1743.0
12434,2019-04-26,east,1764.0
5042,2018-08-05,east,1614.0
5070,2018-08-06,east,1554.0
5098,2018-08-07,east,1551.0
5126,2018-08-08,east,1506.0
12406,2019-04-25,east,1725.0
5154,2018-08-09,east,1620.0
5210,2018-08-11,east,1533.0
5742,2018-08-30,east,1665.0
5770,2018-08-31,east,1644.0
5798,2018-09-01,east,1719.0
6358,2018-09-21,east,1716.0
12098,2019-04-14,east,1722.0
6386,2018-09-22,east,1758.0
6414,2018-09-23,east,1728.0
6442,2018-09-24,east,1797.0
6470,2018-09-25,east,1611.0
12070,2019-04-13,east,1644.0
6498,2018-09-26,east,1713.0
6526,2018-09-27,east,1743.0
6554,2018-09-28,east,1653.0
6582,2018-09-29,east,1701.0
12042,2019-04-12,east,1593.0
6610,2018-09-30,east,1659.0
6638,2018-10-01,east,1755.0
6666,2018-10-02,east,1800.0
6694,2018-10-03,east,1536.0
12014,2019-04-11,east,1569.0
6722,2018-10-04,east,1626.0
6750,2018-10-05,east,1713.0
6330,2018-09-20,east,1662.0
6302,2018-09-19,east,1779.0
6274,2018-09-18,east,1737.0
12126,2019-04-15,east,1524.0
12238,2019-04-19,east,1524.0
5826,2018-09-02,east,1506.0
5854,2018-09-03,east,1674.0
5882,2018-09-04,east,1785.0
5910,2018-09-05,east,1656.0
12210,2019-04-18,east,1557.0
5938,2018-09-06,east,1758.0
5966,2018-09-07,east,1776.0
5994,2018-09-08,east,1533.0
4734,2018-07-25,east,1533.0
6022,2018-09-09,east,1638.0
6050,2018-09-10,east,1782.0
6078,2018-09-11,east,1749.0
6106,2018-09-12,east,1740.0
6134,2018-09-13,east,1677.0
12154,2019-04-16,east,1584.0
6162,2018-09-14,east,1743.0
6190,2018-09-15,east,1698.0
6218,2018-09-16,east,1782.0
6246,2018-09-17,east,1545.0
12182,2019-04-17,east,1647.0
4706,2018-07-24,east,1752.0
12518,2019-04-29,east,1752.0
4678,2018-07-23,east,1719.0
3194,2018-05-31,east,1536.0
3222,2018-06-01,east,1665.0
12882,2019-05-12,east,1761.0
3250,2018-06-02,east,1797.0
3278,2018-06-03,east,1578.0
3306,2018-06-04,east,1572.0
3334,2018-06-05,east,1557.0
12854,2019-05-11,east,1650.0
3362,2018-06-06,east,1761.0
3390,2018-06-07,east,1785.0
3418,2018-06-08,east,1695.0
3446,2018-06-09,east,1656.0
12826,2019-05-10,east,1725.0
3474,2018-06-10,east,1737.0
3502,2018-06-11,east,1698.0
3530,2018-06-12,east,1548.0
3558,2018-06-13,east,1572.0
12798,2019-05-09,east,1665.0
3586,2018-06-14,east,1599.0
3166,2018-05-30,east,1614.0
3138,2018-05-29,east,1629.0
12910,2019-05-13,east,1560.0
3110,2018-05-28,east,1800.0
2662,2018-05-12,east,1521.0
13022,2019-05-17,east,1620.0
2690,2018-05-13,east,1665.0
2718,2018-05-14,east,1644.0
2746,2018-05-15,east,1701.0
2774,2018-05-16,east,1626.0
12994,2019-05-16,east,1662.0
2802,2018-05-17,east,1590.0
2830,2018-05-18,east,1539.0
3614,2018-06-15,east,1593.0
2858,2018-05-19,east,1626.0
12966,2019-05-15,east,1755.0
2914,2018-05-21,east,1626.0
2942,2018-05-22,east,1581.0
2970,2018-05-23,east,1713.0
2998,2018-05-24,east,1695.0
12938,2019-05-14,east,1635.0
3026,2018-05-25,east,1713.0
3054,2018-05-26,east,1650.0
3082,2018-05-27,east,1521.0
2886,2018-05-20,east,1752.0
6778,2018-10-06,east,1596.0
3642,2018-06-16,east,1575.0
12770,2019-05-08,east,1785.0
12630,2019-05-03,east,1605.0
4258,2018-07-08,east,1515.0
4286,2018-07-09,east,1542.0
4314,2018-07-10,east,1755.0
4342,2018-07-11,east,1638.0
12602,2019-05-02,east,1797.0
4370,2018-07-12,east,1539.0
4398,2018-07-13,east,1680.0
4426,2018-07-14,east,1620.0
4454,2018-07-15,east,1698.0
12574,2019-05-01,east,1731.0
4482,2018-07-16,east,1554.0
4510,2018-07-17,east,1788.0
4538,2018-07-18,east,1530.0
4566,2018-07-19,east,1704.0
12546,2019-04-30,east,1500.0
4594,2018-07-20,east,1644.0
4622,2018-07-21,east,1662.0
4650,2018-07-22,east,1659.0
4230,2018-07-07,east,1695.0
4202,2018-07-06,east,1758.0
4174,2018-07-05,east,1575.0
4146,2018-07-04,east,1764.0
3698,2018-06-18,east,1611.0
3726,2018-06-19,east,1623.0
3754,2018-06-20,east,1734.0
3782,2018-06-21,east,1557.0
12742,2019-05-07,east,1620.0
3810,2018-06-22,east,1686.0
3838,2018-06-23,east,1695.0
3866,2018-06-24,east,1530.0
3894,2018-06-25,east,1548.0
3670,2018-06-17,east,1608.0
12714,2019-05-06,east,1557.0
3950,2018-06-27,east,1707.0
3978,2018-06-28,east,1692.0
4006,2018-06-29,east,1629.0
12686,2019-05-05,east,1530.0
4034,2018-06-30,east,1515.0
4062,2018-07-01,east,1716.0
4090,2018-07-02,east,1680.0
4118,2018-07-03,east,1623.0
12658,2019-05-04,east,1629.0
3922,2018-06-26,east,1503.0
2634,2018-05-11,east,1584.0
6806,2018-10-07,east,1794.0
6834,2018-10-08,east,1779.0
9466,2019-01-10,east,1512.0
9494,2019-01-11,east,1608.0
9522,2019-01-12,east,1707.0
11314,2019-03-17,east,1545.0
9550,2019-01-13,east,1536.0
9578,2019-01-14,east,1698.0
9606,2019-01-15,east,1617.0
9634,2019-01-16,east,1506.0
11286,2019-03-16,east,1728.0
9662,2019-01-17,east,1509.0
9690,2019-01-18,east,1635.0
9718,2019-01-19,east,1689.0
9746,2019-01-20,east,1722.0
11258,2019-03-15,east,1563.0
9774,2019-01-21,east,1614.0
9802,2019-01-22,east,1794.0
9830,2019-01-23,east,1563.0
9858,2019-01-24,east,1557.0
11230,2019-03-14,east,1692.0
9438,2019-01-09,east,1764.0
9886,2019-01-25,east,1707.0
11342,2019-03-18,east,1764.0
9382,2019-01-07,east,1692.0
8962,2018-12-23,east,1710.0
11454,2019-03-22,east,1767.0
8990,2018-12-24,east,1719.0
9018,2018-12-25,east,1623.0
9046,2018-12-26,east,1545.0
9074,2018-12-27,east,1632.0
11426,2019-03-21,east,1791.0
9102,2018-12-28,east,1764.0
9130,2018-12-29,east,1695.0
9158,2018-12-30,east,1599.0
9186,2018-12-31,east,1590.0
11398,2019-03-20,east,1608.0
9214,2019-01-01,east,1755.0
9242,2019-01-02,east,1692.0
9270,2019-01-03,east,1575.0
9298,2019-01-04,east,1590.0
11370,2019-03-19,east,1635.0
9326,2019-01-05,east,1725.0
9354,2019-01-06,east,1794.0
9410,2019-01-08,east,1731.0
9914,2019-01-26,east,1653.0
9942,2019-01-27,east,1533.0
9970,2019-01-28,east,1560.0
10530,2019-02-17,east,1722.0
11062,2019-03-08,east,1617.0
10558,2019-02-18,east,1728.0
10586,2019-02-19,east,1596.0
10614,2019-02-20,east,1566.0
10642,2019-02-21,east,1731.0
11034,2019-03-07,east,1560.0
10670,2019-02-22,east,1725.0
10698,2019-02-23,east,1518.0
10726,2019-02-24,east,1653.0
10754,2019-02-25,east,1713.0
11006,2019-03-06,east,1674.0
10782,2019-02-26,east,1506.0
10810,2019-02-27,east,1734.0
10838,2019-02-28,east,1731.0
10866,2019-03-01,east,1638.0
10978,2019-03-05,east,1743.0
10894,2019-03-02,east,1608.0
10922,2019-03-03,east,1593.0
10502,2019-02-16,east,1674.0
10474,2019-02-15,east,1695.0
10446,2019-02-14,east,1560.0
11090,2019-03-09,east,1656.0
11202,2019-03-13,east,1542.0
9998,2019-01-29,east,1605.0
10026,2019-01-30,east,1797.0
10054,2019-01-31,east,1599.0
10082,2019-02-01,east,1662.0
11174,2019-03-12,east,1626.0
10110,2019-02-02,east,1746.0
10138,2019-02-03,east,1734.0
10166,2019-02-04,east,1560.0
8934,2018-12-22,east,1668.0
10194,2019-02-05,east,1674.0
10222,2019-02-06,east,1563.0
10250,2019-02-07,east,1662.0
10278,2019-02-08,east,1719.0
10306,2019-02-09,east,1605.0
11118,2019-03-10,east,1650.0
10334,2019-02-10,east,1560.0
10362,2019-02-11,east,1536.0
10390,2019-02-12,east,1752.0
10418,2019-02-13,east,1500.0
11146,2019-03-11,east,1689.0
8906,2018-12-21,east,1542.0
8878,2018-12-20,east,1767.0
11482,2019-03-23,east,1686.0
7394,2018-10-28,east,1785.0
11846,2019-04-05,east,1662.0
7422,2018-10-29,east,1599.0
7450,2018-10-30,east,1530.0
7478,2018-10-31,east,1596.0
7506,2018-11-01,east,1593.0
11818,2019-04-04,east,1662.0
7534,2018-11-02,east,1530.0
7562,2018-11-03,east,1548.0
7590,2018-11-04,east,1530.0
7618,2018-11-05,east,1776.0
11790,2019-04-03,east,1695.0
7646,2018-11-06,east,1773.0
7674,2018-11-07,east,1650.0
7702,2018-11-08,east,1500.0
7730,2018-11-09,east,1710.0
11762,2019-04-02,east,1785.0
7758,2018-11-10,east,1566.0
7786,2018-11-11,east,1641.0
